year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,GROSS AREA SOWN,1078,368
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Paddy,1676,150
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Maize,217,40
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Green Gram,23,10
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Black Gram,7,3
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Red Gram,1,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Bengal Gram,3,7
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Cow Gram,11,2
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Chillies,368,280
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Groundnut,34,10
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Sesamum,0,1
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapur,GROSS AREA SOWN,2340,503
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Paddy,293,85
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Maize,405,627
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Green Gram,226,48
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Black Gram,227,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Red Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Bengal Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Cow Gram,2,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Chillies,1440,1312
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Groundnut,37,144
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Sesamum,5,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Venkatapuram,GROSS AREA SOWN,2635,2216
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Paddy,212,70
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Maize,131,19
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Green Gram,454,265
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Black Gram,225,78
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Red Gram,5,0
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Bengal Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Cow Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Chillies,1531,1236
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Groundnut,194,99
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Sesamum,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Wajedu,GROSS AREA SOWN,2752,1767
