year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Apple Bear,0,0.4
2018-2019,Rabi,Kumuram Bheem,Wankidi,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Apple Bear,0,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Jasmin Flowers,0,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Banana,0,5
2018-2019,Rabi,Kumuram Bheem,Wankidi,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Banana,0,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Sugarcane,0,0
